,BFV2AA,BFV2AB,BFV2AC,BFV2AMA,BFV2AMB,BFV2AMC,BFV2MA,BFV2MB,BFV2MC,BFV2NEGA,BFV2NEGAM,BFV2NEGM,BFXTAA,BFXTAB,BFXTAC,BFXTAMA,BFXTAMB,BFXTAMC,BFXTMA,BFXTMB,BFXTMC,BFXTNEGA,BFXTNEGAM,BFXTNEGM,HFV2AA,HFV2AB,HFV2AC,HFV2AMA,HFV2AMB,HFV2AMC,HFV2MA,HFV2MB,HFV2MC,HFV2NEGA,HFV2NEGAM,HFV2NEGM,HFXTAA,HFXTAB,HFXTAC,HFXTAMA,HFXTAMB,HFXTAMC,HFXTMA,HFXTMB,HFXTMC,HFXTNEGA,HFXTNEGAM,HFXTNEGM,MOV2AA,MOV2AB,MOV2AC,MOV2AMA,MOV2AMB,MOV2AMC,MOV2MA,MOV2MB,MOV2MC,MOV2NEGA,MOV2NEGAM,MOV2NEGM,MOXTAA,MOXTAB,MOXTAC,MOXTAMA,MOXTAMB,MOXTAMC,MOXTMA,MOXTMB,MOXTMC,MOXTNEGA,MOXTNEGAM,MOXTNEGM,SV2AA,SV2AB,SV2AC,SV2AMA,SV2AMB,SV2AMC,SV2MA,SV2MB,SV2MC,SV2NEGA,SV2NEGAM,SV2NEGM,SXTAA,SXTAB,SXTAC,SXTAMA,SXTAMB,SXTAMC,SXTMA,SXTMB,SXTMC,SXTNEGA,SXTNEGAM,SXTNEGM
gene:plasmid:156078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,18,0,0,0,0,0,2,56,35,55,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:154069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,12,0,0,0,1,0,0,25,12,13,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:154070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3,56,38,75,0,27,26,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:88310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,1,0,0,13,5,14,0,6,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:88306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,11,0,0,0,0,0,0,11,5,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:156045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,1,15,6,13,0,6,8,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:156062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:154028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,12,5,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:147496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,2,1,1,19,11,23,0,10,6,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:156175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,27,21,35,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
